City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,50.0,81,75,17.27,broken clouds
1,Nanortalik,GL,60.1432,-45.2371,27.03,91,100,5.1,overcast clouds
2,Ibra,OM,22.6906,58.5334,54.32,75,0,1.95,clear sky
3,Cape Town,ZA,-33.9258,18.4232,64.99,82,0,8.05,clear sky
4,Jamestown,US,42.097,-79.2353,30.99,100,90,9.22,light snow
5,Kavaratti,IN,10.5669,72.642,82.0,75,0,9.51,clear sky
6,Sumbe,AO,-11.2061,13.8437,73.4,85,100,7.09,overcast clouds
7,Hofn,IS,64.2539,-15.2082,39.11,72,100,13.22,overcast clouds
8,Chuy,UY,-33.6971,-53.4616,61.86,81,0,5.93,clear sky
9,Hermanus,ZA,-34.4187,19.2345,66.0,82,12,5.99,few clouds
10,Kansanshi,ZM,-12.0951,26.4273,62.11,98,100,4.03,light rain
11,Kruisfontein,ZA,-34.0033,24.7314,68.0,76,67,1.99,broken clouds
12,Namibe,AO,-15.1961,12.1522,71.46,76,76,7.4,broken clouds
13,Benguela,AO,-12.5763,13.4055,72.64,78,100,2.08,overcast clouds
14,Sao Filipe,CV,14.8961,-24.4956,71.85,72,0,6.6,clear sky
15,Mar Del Plata,AR,-38.0023,-57.5575,61.0,77,0,6.91,clear sky
16,Honningsvag,NO,70.9821,25.9704,35.91,83,100,19.13,overcast clouds
17,Chapais,CA,49.7834,-74.8492,10.4,85,90,11.5,light snow
18,Nioro,GM,13.35,-15.75,70.99,18,91,8.97,overcast clouds
19,Sorland,NO,67.667,12.6934,36.41,79,30,5.61,scattered clouds
20,Yangambi,CD,0.8102,24.4336,69.51,90,94,1.92,overcast clouds
21,Saint-Augustin,CA,51.226,-58.6502,35.69,91,100,12.66,overcast clouds
22,Busselton,AU,-33.65,115.3333,89.01,30,0,5.01,clear sky
23,Luderitz,NA,-26.6481,15.1594,62.69,82,0,8.66,clear sky
24,Saint George,US,37.1041,-113.5841,50.0,29,1,9.22,clear sky
25,Port Alfred,ZA,-33.5906,26.891,64.99,89,74,6.4,broken clouds
26,Abu Samrah,SY,35.3029,37.1841,45.41,70,3,17.76,clear sky
27,Eydhafushi,MV,5.1033,73.0708,82.0,75,12,11.07,few clouds
28,Pucallpa,PE,-8.3791,-74.5539,76.03,86,100,3.74,light rain
29,Torbay,CA,47.6666,-52.7314,39.0,100,75,20.71,broken clouds
30,Lavello,IT,41.0456,15.7908,39.99,93,40,6.91,light rain
31,Souillac,MU,-20.5167,57.5167,78.8,83,75,11.5,light rain
32,George Town,MY,5.4112,100.3354,82.4,61,20,9.22,few clouds
33,Weligama,LK,5.9667,80.4167,78.64,81,80,4.68,broken clouds
34,Nara,JP,34.6851,135.8049,45.0,52,40,12.66,scattered clouds
35,Malyn,UA,50.7723,29.2383,-2.2,78,100,6.71,light snow
36,Adre,TD,13.4667,22.2,59.9,27,0,13.44,clear sky
37,Dudinka,RU,69.4058,86.1778,-7.29,89,100,7.63,overcast clouds
38,Ostersund,SE,63.1792,14.6357,-5.01,84,2,0.63,clear sky
39,Toktogul,KG,41.8708,72.9402,33.33,59,100,0.96,overcast clouds
40,Umm Kaddadah,SD,13.6017,26.6876,62.33,28,1,16.73,clear sky
41,Saldanha,ZA,-33.0117,17.9442,62.6,82,0,4.61,clear sky
42,Dikson,RU,73.5069,80.5464,-23.15,84,37,17.63,scattered clouds
43,Sompeta,IN,18.9333,84.6,73.42,69,2,5.28,clear sky
44,Arlit,NE,18.7369,7.3853,60.24,30,63,4.99,broken clouds
45,Vardo,NO,70.3705,31.1107,33.49,93,100,10.65,light snow
46,Ribeira Grande,PT,38.5167,-28.7,62.56,78,88,28.95,overcast clouds
47,Muros,ES,42.7762,-9.0603,46.0,95,0,1.01,clear sky
48,Bredasdorp,ZA,-34.5322,20.0403,66.2,77,58,10.36,broken clouds
49,Bani Walid,LY,31.7566,13.9942,46.38,56,0,9.24,clear sky
50,Abha,SA,18.2164,42.5053,51.8,93,0,3.8,clear sky
51,Arraial Do Cabo,BR,-22.9661,-42.0278,75.33,83,7,28.27,clear sky
52,Hauterive,FR,46.0901,3.4459,35.6,93,90,3.44,overcast clouds
53,Behbahan,IR,30.5959,50.2417,53.6,87,23,6.91,few clouds
54,Upernavik,GL,72.7868,-56.1549,14.95,94,100,9.91,light snow
55,Spasskoye,RU,44.6108,132.7969,4.95,92,83,4.21,broken clouds
56,Edd,ER,13.9297,41.6925,71.64,85,100,4.05,overcast clouds
57,Georgetown,MY,5.4112,100.3354,82.4,61,20,9.22,few clouds
58,Hithadhoo,MV,-0.6,73.0833,80.69,71,25,8.39,scattered clouds
59,Luanda,AO,-8.8368,13.2343,77.0,83,20,4.61,few clouds
60,Dingle,PH,10.9995,122.6711,76.82,89,100,10.27,light rain
61,Axim,GH,4.8699,-2.2405,78.37,84,0,5.7,clear sky
62,Bambous Virieux,MU,-20.3428,57.7575,81.0,83,75,11.5,light rain
63,Mashhad,IR,36.297,59.6062,42.8,52,0,6.91,clear sky
64,Lagoa,PT,39.05,-27.9833,61.66,81,39,28.5,light rain
65,Coihaique,CL,-45.5752,-72.0662,57.2,72,75,5.75,broken clouds
66,Victoria,HK,22.2855,114.1577,57.99,47,0,1.99,clear sky
67,Punta Arenas,CL,-53.15,-70.9167,53.6,66,90,17.27,overcast clouds
68,Khakhea,BW,-24.6895,23.494,74.12,21,8,7.52,clear sky
69,Santa Rosa,PH,14.3122,121.1114,82.4,74,40,4.61,scattered clouds
70,Quelimane,MZ,-17.8786,36.8883,77.83,93,100,2.89,overcast clouds
71,Bure,ET,10.7,37.0667,55.76,50,97,4.21,overcast clouds
72,Brae,GB,60.3964,-1.353,42.8,70,40,25.32,scattered clouds
73,Aksu,CN,41.1231,80.2644,14.22,82,0,2.46,clear sky
74,Goderich,CA,43.7501,-81.7165,30.2,86,100,4.61,light snow
75,East London,ZA,-33.0153,27.9116,68.85,72,68,4.99,broken clouds
76,Lamu,KE,-2.2717,40.902,78.8,83,1,3.44,clear sky
77,Saint-Andre-Les-Vergers,FR,48.2853,4.0521,39.2,81,90,8.05,overcast clouds
78,Fereydunshahr,IR,32.941,50.121,24.19,96,96,4.81,overcast clouds
79,Mahebourg,MU,-20.4081,57.7,78.8,83,75,11.5,light rain
80,Korla,CN,41.7597,86.1469,18.0,80,36,2.53,scattered clouds
81,Lethem,GY,3.3803,-59.7968,78.62,69,58,12.1,broken clouds
82,Sisimiut,GL,66.9395,-53.6735,14.04,94,100,10.94,light snow
83,Rio Bueno,CL,-40.3167,-72.9667,60.8,84,0,4.61,clear sky
84,Kapoeta,SS,4.7717,33.5903,79.72,41,73,7.16,broken clouds
85,Riachao Das Neves,BR,-11.7461,-44.91,70.59,87,100,2.93,light rain
86,Port Elizabeth,ZA,-33.918,25.5701,66.2,82,75,3.44,broken clouds
87,Saint-Louis,SN,16.3333,-15.0,68.7,20,93,10.92,overcast clouds
88,Emba,KZ,48.8264,58.1442,16.7,93,100,8.61,overcast clouds
89,Moskovskiy,RU,55.5991,37.355,-9.4,84,20,2.24,few clouds
90,Qaanaaq,GL,77.484,-69.3632,-0.89,73,0,6.71,clear sky
91,Carnarvon,AU,-24.8667,113.6333,87.8,74,59,8.05,broken clouds
92,Cidreira,BR,-30.1811,-50.2056,72.97,91,100,13.78,overcast clouds
93,Monrovia,LR,6.3005,-10.7969,75.2,94,20,4.52,mist
94,Raudeberg,NO,61.9875,5.1352,39.99,81,45,15.57,scattered clouds
95,Ratnagiri,IN,16.9833,73.3,79.27,57,94,3.29,overcast clouds
96,Berbera,SO,10.4396,45.0143,73.35,79,5,0.22,clear sky
97,Mamlyutka,KZ,54.9375,68.5394,-0.4,78,0,11.18,clear sky
98,Bosconia,CO,9.9689,-73.8836,77.47,61,6,2.8,clear sky
99,Areka,ET,7.0667,37.7,61.43,36,88,5.7,overcast clouds
100,Hamilton,US,39.1834,-84.5333,32.0,86,90,9.22,mist
101,Cherdyn,RU,60.403,56.4787,-13.45,90,99,5.37,overcast clouds
102,Rawson,AR,-43.3002,-65.1023,68.49,50,6,14.97,clear sky
103,Clyde River,CA,70.4692,-68.5914,5.0,92,90,25.32,snow
104,Grand Gaube,MU,-20.0064,57.6608,81.0,74,64,11.99,broken clouds
105,Vikulovo,RU,56.8167,70.6107,0.59,92,99,10.98,overcast clouds
106,Nantucket,US,41.2835,-70.0995,42.8,61,1,19.57,clear sky
107,Sur,OM,22.5667,59.5289,67.01,59,0,2.73,clear sky
108,Licata,IT,37.1071,13.9461,44.6,100,40,2.3,scattered clouds
109,Ipanema,BR,-30.1391,-51.2244,73.4,100,75,4.61,broken clouds
110,Marsh Harbour,BS,26.5412,-77.0636,66.65,67,100,16.2,overcast clouds
111,Longyearbyen,SJ,78.2186,15.6401,17.6,67,75,29.93,broken clouds
112,San Cristobal,VE,7.7669,-72.225,64.83,87,9,1.79,clear sky
113,Klaksvik,FO,62.2266,-6.589,32.0,100,40,8.05,scattered clouds
114,Narok,KE,-1.0783,35.8601,57.83,84,91,3.47,light rain
115,Margate,GB,51.3813,1.3862,37.99,82,1,1.99,clear sky
116,Soyo,AO,-6.1349,12.3689,78.24,82,97,8.21,overcast clouds
117,Binghamton,US,42.0987,-75.918,35.01,80,90,10.36,overcast clouds
