City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Buraydah,SA,2021-01-17 02:26:36,26.326,43.975,51.8,93,0,6.91
1,Gwadar,PK,2021-01-17 02:33:24,25.1216,62.3254,64.42,58,0,3.91
2,Lukovetskiy,RU,2021-01-17 02:33:24,64.2956,41.9211,5.0,85,90,3.29
3,Sorland,NO,2021-01-17 02:27:00,67.667,12.6934,38.26,78,8,6.58
4,Araouane,ML,2021-01-17 02:26:23,18.9048,-3.5265,58.69,29,91,13.06
5,Xapuri,BR,2021-01-17 02:33:24,-10.6517,-68.5044,74.93,95,62,3.47
6,Trairi,BR,2021-01-17 02:25:50,-3.2778,-39.2689,78.1,84,62,9.04
7,Busselton,AU,2021-01-17 02:25:13,-33.65,115.3333,80.01,40,0,5.99
8,Bredasdorp,ZA,2021-01-17 02:25:01,-34.5322,20.0403,60.8,88,0,5.75
9,East London,ZA,2021-01-17 02:25:16,-33.0153,27.9116,69.22,69,20,18.81
10,Mbanza-Ngungu,CD,2021-01-17 02:33:26,-5.25,14.8667,65.79,100,98,3.58
11,Georgetown,MY,2021-01-17 02:21:02,5.4112,100.3354,82.4,78,20,4.61
12,Bilma,NE,2021-01-17 02:33:26,18.6853,12.9164,63.66,28,1,10.49
13,Qaanaaq,GL,2021-01-17 02:25:14,77.484,-69.3632,3.02,81,36,5.57
14,Luderitz,NA,2021-01-17 02:25:04,-26.6481,15.1594,62.74,76,0,10.69
15,Eyl,SO,2021-01-17 02:33:27,7.9803,49.8164,70.61,78,0,9.51
16,Arraial Do Cabo,BR,2021-01-17 02:25:19,-22.9661,-42.0278,75.61,84,0,27.45
17,Port Alfred,ZA,2021-01-17 02:25:28,-33.5906,26.891,64.0,94,39,3.0
18,Ushuaia,AR,2021-01-17 02:20:23,-54.8,-68.3,48.2,87,75,18.41
19,Langnau,CH,2021-01-17 02:33:28,46.9394,7.7874,32.0,93,75,2.3
20,Mar Del Plata,AR,2021-01-17 02:21:17,-38.0023,-57.5575,64.99,77,90,8.05
21,Wageningen,NL,2021-01-17 02:33:29,51.9667,5.6667,34.0,100,90,5.75
22,Upernavik,GL,2021-01-17 02:25:15,72.7868,-56.1549,10.47,82,0,7.2
23,Adrar,MR,2021-01-17 02:33:29,20.5022,-10.0711,56.34,30,100,12.37
24,Hobyo,SO,2021-01-17 02:26:35,5.3505,48.5268,75.74,82,51,16.22
25,Port Elizabeth,ZA,2021-01-17 02:33:29,-33.918,25.5701,68.0,77,20,14.97
26,Yar-Sale,RU,2021-01-17 02:26:31,66.8333,70.8333,-7.08,91,100,11.07
27,Torbay,CA,2021-01-17 02:25:02,47.6666,-52.7314,33.01,100,90,18.41
28,Port-Cartier,CA,2021-01-17 02:33:30,50.0334,-66.8654,28.4,86,100,11.5
29,Atar,MR,2021-01-17 02:25:29,20.5169,-13.0499,60.85,24,91,17.78
30,Halifax,CA,2021-01-17 02:32:07,44.6453,-63.5724,39.99,93,100,26.46
31,Romhany,HU,2021-01-17 02:33:30,47.9262,19.2572,26.01,86,90,9.22
32,Castro,BR,2021-01-17 02:25:33,-24.7911,-50.0119,65.86,96,100,5.19
33,Komatipoort,ZA,2021-01-17 02:33:31,-25.4332,31.9548,75.0,85,95,6.44
34,San Cristobal,VE,2021-01-17 02:33:31,7.7669,-72.225,64.92,88,66,2.93
35,Brae,GB,2021-01-17 02:33:31,60.3964,-1.353,44.6,93,90,28.77
36,Disna,BY,2021-01-17 02:33:31,55.568,28.1971,-1.5,92,98,5.88
37,Tessalit,ML,2021-01-17 02:26:20,20.1986,1.0114,54.01,30,73,9.91
38,Annau,TM,2021-01-17 02:33:32,37.8876,58.516,33.8,100,90,4.32
39,Dikson,RU,2021-01-17 02:25:34,73.5069,80.5464,-29.69,81,3,10.49
40,Punta Arenas,CL,2021-01-17 02:20:56,-53.15,-70.9167,51.8,76,0,14.97
41,Mandera,KE,2021-01-17 02:26:26,3.9366,41.867,73.38,75,0,7.29
